question_id,is_correct,op,out_degree
gsm-hard-0,True,extract_fact,1
gsm-hard-0,True,extract_fact,2
gsm-hard-0,True,arithmetic,1
gsm-hard-0,True,arithmetic,1
gsm-hard-0,True,arithmetic,2
gsm-hard-0,True,verify,1
gsm-hard-0,True,conclude,0
gsm-hard-1,True,extract_fact,1
gsm-hard-1,True,extract_fact,1
gsm-hard-1,True,extract_fact,1
gsm-hard-1,True,arithmetic,1
gsm-hard-1,True,arithmetic,1
gsm-hard-1,True,conclude,0
gsm-hard-2,False,extract_fact,2
gsm-hard-2,False,extract_fact,1
gsm-hard-2,False,extract_fact,1
gsm-hard-2,False,arithmetic,2
gsm-hard-2,False,verify,1
gsm-hard-2,False,arithmetic,1
gsm-hard-2,False,arithmetic,1
gsm-hard-2,False,conclude,0
gsm-hard-3,True,extract_fact,2
gsm-hard-3,True,extract_fact,1
gsm-hard-3,True,extract_fact,1
gsm-hard-3,True,arithmetic,1
gsm-hard-3,True,arithmetic,1
gsm-hard-3,True,arithmetic,1
gsm-hard-3,True,other,1
gsm-hard-3,True,arithmetic,1
gsm-hard-3,True,conclude,0
gsm-hard-4,True,extract_fact,2
gsm-hard-4,True,substitute,2
gsm-hard-4,True,arithmetic,2
gsm-hard-4,True,arithmetic,1
gsm-hard-4,True,arithmetic,1
gsm-hard-4,True,conclude,0
gsm-hard-5,True,extract_fact,1
gsm-hard-5,True,extract_fact,1
gsm-hard-5,True,extract_fact,1
gsm-hard-5,True,extract_fact,2
gsm-hard-5,True,arithmetic,2
gsm-hard-5,True,arithmetic,1
gsm-hard-5,True,arithmetic,1
gsm-hard-5,True,arithmetic,1
gsm-hard-5,True,conclude,0
gsm-hard-6,True,extract_fact,3
gsm-hard-6,True,extract_fact,3
gsm-hard-6,True,arithmetic,1
gsm-hard-6,True,arithmetic,1
gsm-hard-6,True,arithmetic,2
gsm-hard-6,True,arithmetic,1
gsm-hard-6,True,arithmetic,1
gsm-hard-6,True,arithmetic,1
gsm-hard-6,True,arithmetic,1
gsm-hard-6,True,conclude,0
gsm-hard-7,True,extract_fact,2
gsm-hard-7,True,arithmetic,0
gsm-hard-7,True,arithmetic,1
gsm-hard-7,True,arithmetic,1
gsm-hard-7,True,arithmetic,1
gsm-hard-7,True,arithmetic,1
gsm-hard-7,True,arithmetic,1
gsm-hard-7,True,conclude,0
gsm-hard-8,True,extract_fact,2
gsm-hard-8,True,extract_fact,0
gsm-hard-8,True,extract_fact,1
gsm-hard-8,True,arithmetic,1
gsm-hard-8,True,arithmetic,1
gsm-hard-8,True,arithmetic,1
gsm-hard-8,True,arithmetic,1
gsm-hard-8,True,conclude,0
gsm-hard-9,False,extract_fact,1
gsm-hard-9,False,extract_fact,1
gsm-hard-9,False,other,1
gsm-hard-9,False,conclude,1
gsm-hard-9,False,arithmetic,1
gsm-hard-9,False,conclude,0
gsm-hard-10,True,extract_fact,3
gsm-hard-10,True,arithmetic,1
gsm-hard-10,True,arithmetic,1
gsm-hard-10,True,arithmetic,1
gsm-hard-10,True,arithmetic,1
gsm-hard-10,True,conclude,0
gsm-hard-11,True,extract_fact,1
gsm-hard-11,True,extract_fact,1
gsm-hard-11,True,extract_fact,1
gsm-hard-11,True,arithmetic,1
gsm-hard-11,True,arithmetic,1
gsm-hard-11,True,conclude,0
gsm-hard-12,True,extract_fact,1
gsm-hard-12,True,extract_fact,1
gsm-hard-12,True,extract_fact,1
gsm-hard-12,True,arithmetic,1
gsm-hard-12,True,arithmetic,1
gsm-hard-12,True,arithmetic,1
gsm-hard-12,True,conclude,0
gsm-hard-13,True,extract_fact,1
gsm-hard-13,True,extract_fact,1
gsm-hard-13,True,arithmetic,1
gsm-hard-13,True,arithmetic,1
gsm-hard-13,True,arithmetic,1
gsm-hard-13,True,conclude,0
gsm-hard-14,True,extract_fact,2
gsm-hard-14,True,arithmetic,1
gsm-hard-14,True,arithmetic,2
gsm-hard-14,True,extract_fact,1
gsm-hard-14,True,arithmetic,1
gsm-hard-14,True,arithmetic,1
gsm-hard-14,True,extract_fact,1
gsm-hard-14,True,arithmetic,1
gsm-hard-14,True,conclude,0
gsm-hard-15,True,extract_fact,2
gsm-hard-15,True,arithmetic,1
gsm-hard-15,True,arithmetic,1
gsm-hard-15,True,arithmetic,1
gsm-hard-15,True,conclude,0
gsm-hard-16,True,extract_fact,1
gsm-hard-16,True,extract_fact,1
gsm-hard-16,True,substitute,1
gsm-hard-16,True,arithmetic,1
gsm-hard-16,True,arithmetic,1
gsm-hard-16,True,arithmetic,1
gsm-hard-16,True,conclude,0
gsm-hard-17,True,extract_fact,2
gsm-hard-17,True,arithmetic,1
gsm-hard-17,True,arithmetic,2
gsm-hard-17,True,arithmetic,1
gsm-hard-17,True,arithmetic,1
gsm-hard-17,True,arithmetic,1
gsm-hard-17,True,conclude,0
gsm-hard-18,False,extract_fact,1
gsm-hard-18,False,extract_fact,1
gsm-hard-18,False,arithmetic,2
gsm-hard-18,False,arithmetic,1
gsm-hard-18,False,arithmetic,1
gsm-hard-18,False,arithmetic,2
gsm-hard-18,False,arithmetic,1
gsm-hard-18,False,arithmetic,1
gsm-hard-18,False,arithmetic,1
gsm-hard-18,False,conclude,0
gsm-hard-19,True,extract_fact,1
gsm-hard-19,True,arithmetic,1
gsm-hard-19,True,arithmetic,1
gsm-hard-19,True,extract_fact,1
gsm-hard-19,True,arithmetic,1
gsm-hard-19,True,conclude,0
gsm-hard-20,False,extract_fact,1
gsm-hard-20,False,extract_fact,2
gsm-hard-20,False,arithmetic,1
gsm-hard-20,False,arithmetic,1
gsm-hard-20,False,other,1
gsm-hard-20,False,arithmetic,1
gsm-hard-20,False,conclude,0
gsm-hard-21,True,extract_fact,4
gsm-hard-21,True,arithmetic,1
gsm-hard-21,True,arithmetic,1
gsm-hard-21,True,arithmetic,1
gsm-hard-21,True,arithmetic,1
gsm-hard-21,True,conclude,0
gsm-hard-22,True,extract_fact,1
gsm-hard-22,True,arithmetic,1
gsm-hard-22,True,other,1
gsm-hard-22,True,arithmetic,1
gsm-hard-22,True,arithmetic,1
gsm-hard-22,True,conclude,0
gsm-hard-23,False,extract_fact,1
gsm-hard-23,False,extract_fact,1
gsm-hard-23,False,arithmetic,1
gsm-hard-23,False,other,1
gsm-hard-23,False,arithmetic,1
gsm-hard-23,False,arithmetic,1
